prefecture_code,municipality,file_name
moj-01hokkaido,札幌市中央区（札幌法務局）登記所備付地図データ,01101-4300.zip
moj-01hokkaido,札幌市北区（札幌法務局北出張所）登記所備付地図データ,01102-4306.zip
moj-01hokkaido,札幌市東区（札幌法務局北出張所）登記所備付地図データ,01103-4306.zip
moj-01hokkaido,札幌市白石区（札幌法務局白石出張所）登記所備付地図データ,01104-4316.zip
moj-01hokkaido,札幌市豊平区（札幌法務局南出張所）登記所備付地図データ,01105-4307.zip
moj-01hokkaido,札幌市南区（札幌法務局南出張所）登記所備付地図データ,01106-4307.zip
moj-01hokkaido,札幌市西区（札幌法務局西出張所）登記所備付地図データ,01107-4313.zip
moj-01hokkaido,札幌市厚別区（札幌法務局白石出張所）登記所備付地図データ,01108-4316.zip
moj-01hokkaido,札幌市手稲区（札幌法務局西出張所）登記所備付地図データ,01109-4313.zip
moj-01hokkaido,札幌市清田区（札幌法務局南出張所）登記所備付地図データ,01110-4307.zip
moj-01hokkaido,函館市（函館地方法務局）登記所備付地図データ,01202-4400.zip
moj-01hokkaido,小樽市（札幌法務局小樽支局）登記所備付地図データ,01203-4304.zip
moj-01hokkaido,旭川市（旭川地方法務局）登記所備付地図データ,01204-4500.zip
moj-01hokkaido,室蘭市（札幌法務局室蘭支局）登記所備付地図データ,01205-4302.zip
moj-01hokkaido,釧路市（釧路地方法務局）登記所備付地図データ,01206-4600.zip
moj-01hokkaido,帯広市（釧路地方法務局帯広支局）登記所備付地図データ,01207-4601.zip
moj-01hokkaido,北見市（釧路地方法務局北見支局）登記所備付地図データ,01208-4603.zip
moj-01hokkaido,夕張市（札幌法務局岩見沢支局）登記所備付地図データ,01209-4301.zip
moj-01hokkaido,岩見沢市（札幌法務局岩見沢支局）登記所備付地図データ,01210-4301.zip
moj-01hokkaido,網走市（釧路地方法務局北見支局）登記所備付地図データ,01211-4603.zip
moj-01hokkaido,留萌市（旭川地方法務局留萌支局）登記所備付地図データ,01212-4502.zip
moj-01hokkaido,苫小牧市（札幌法務局苫小牧支局）登記所備付地図データ,01213-4323.zip
moj-01hokkaido,稚内市（旭川地方法務局稚内支局）登記所備付地図データ,01214-4503.zip
moj-01hokkaido,美唄市（札幌法務局岩見沢支局）登記所備付地図データ,01215-4301.zip
moj-01hokkaido,芦別市（札幌法務局滝川支局）登記所備付地図データ,01216-4315.zip
moj-01hokkaido,江別市（札幌法務局江別出張所）登記所備付地図データ,01217-4308.zip
moj-01hokkaido,赤平市（札幌法務局滝川支局）登記所備付地図データ,01218-4315.zip
moj-01hokkaido,紋別市（旭川地方法務局紋別支局）登記所備付地図データ,01219-4514.zip
moj-01hokkaido,士別市（旭川地方法務局名寄支局）登記所備付地図データ,01220-4501.zip
moj-01hokkaido,名寄市（旭川地方法務局名寄支局）登記所備付地図データ,01221-4501.zip
moj-01hokkaido,三笠市（札幌法務局岩見沢支局）登記所備付地図データ,01222-4301.zip
moj-01hokkaido,根室市（釧路地方法務局根室支局）登記所備付地図データ,01223-4604.zip
moj-01hokkaido,千歳市（札幌法務局恵庭出張所）登記所備付地図データ,01224-4309.zip
moj-01hokkaido,滝川市（札幌法務局滝川支局）登記所備付地図データ,01225-4315.zip
